# Time-averaged data for fix viscave
# TimeStep v_visc
3230000 23.2337
3240000 23.2252
3250000 23.2232
3260000 23.2236
3270000 23.2182
3280000 23.2188
3290000 23.2176
3300000 23.2153
3310000 23.2375
3320000 23.2739
3330000 23.2926
3340000 23.2955
3350000 23.3077
3360000 23.332
3370000 23.3628
3380000 23.3822
3390000 23.3905
3400000 23.397
3410000 23.4224
3420000 23.4228
3430000 23.4353
3440000 23.4693
3450000 23.4805
3460000 23.4907
3470000 23.5054
3480000 23.5253
3490000 23.5445
3500000 23.5841
3510000 23.6038
3520000 23.6091
3530000 23.6124
3540000 23.6187
3550000 23.6192
3560000 23.6321
3570000 23.653
3580000 23.6522
3590000 23.6492
3600000 23.6475
3610000 23.6474
3620000 23.6509
3630000 23.6604
3640000 23.6622
3650000 23.6611
3660000 23.6625
3670000 23.679
3680000 23.6865
3690000 23.6959
3700000 23.6871
3710000 23.6773
3720000 23.6509
3730000 23.6463
3740000 23.6404
3750000 23.6416
3760000 23.6308
3770000 23.5997
3780000 23.5653
3790000 23.5367
3800000 23.5292
3810000 23.5258
3820000 23.5176
3830000 23.4952
3840000 23.486
3850000 23.4964
3860000 23.4955
3870000 23.4887
3880000 23.4831
3890000 23.4813
3900000 23.4789
3910000 23.4856
3920000 23.4964
3930000 23.4949
3940000 23.4947
3950000 23.494
3960000 23.5054
3970000 23.5248
3980000 23.538
3990000 23.5566
4000000 23.558
4010000 23.5483
4020000 23.5283
4030000 23.5155
4040000 23.4967
4050000 23.476
4060000 23.466
4070000 23.4598
4080000 23.4481
4090000 23.4295
4100000 23.4399
4110000 23.4384
4120000 23.4443
4130000 23.4562
4140000 23.4701
4150000 23.4812
4160000 23.484
4170000 23.4814
4180000 23.4934
4190000 23.4981
4200000 23.49
4210000 23.4936
4220000 23.4855
4230000 23.4799
4240000 23.4754
4250000 23.477
4260000 23.4805
4270000 23.4741
4280000 23.4595
4290000 23.4598
4300000 23.4709
4310000 23.4703
4320000 23.4567
4330000 23.4647
4340000 23.4772
4350000 23.5068
4360000 23.5312
4370000 23.5478
4380000 23.5593
4390000 23.5624
4400000 23.5671
4410000 23.5711
4420000 23.5835
4430000 23.6113
4440000 23.6111
4450000 23.6216
4460000 23.6306
4470000 23.6496
4480000 23.661
4490000 23.6606
4500000 23.6628
4510000 23.6672
4520000 23.6658
4530000 23.6704
4540000 23.6912
4550000 23.699
4560000 23.7243
4570000 23.7342
4580000 23.7459
4590000 23.76
4600000 23.7702
4610000 23.8012
4620000 23.8296
4630000 23.8301
4640000 23.8326
4650000 23.8336
4660000 23.8432
4670000 23.862
4680000 23.8768
4690000 23.8757
4700000 23.878
4710000 23.8618
4720000 23.852
4730000 23.8407
4740000 23.8304
4750000 23.8088
4760000 23.8
4770000 23.8081
4780000 23.83
4790000 23.8509
4800000 23.8685
4810000 23.8947
4820000 23.915
4830000 23.9269
4840000 23.93
4850000 23.9207
4860000 23.925
4870000 23.9439
4880000 23.9468
4890000 23.9557
4900000 23.9533
4910000 23.9501
4920000 23.952
4930000 23.9642
4940000 23.9747
4950000 23.9861
4960000 24.0024
4970000 24.0092
4980000 24.0143
4990000 24.0054
5000000 23.9845
5010000 23.9846
5020000 23.9981
5030000 23.9936
5040000 23.9911
5050000 23.9767
5060000 23.9526
5070000 23.9449
5080000 23.9418
5090000 23.9447
5100000 23.9454
5110000 23.9569
5120000 23.9515
5130000 23.9502
5140000 23.9493
5150000 23.9451
5160000 23.9389
5170000 23.9342
5180000 23.9278
5190000 23.9243
5200000 23.907
5210000 23.8818
5220000 23.8691
5230000 23.8593
5240000 23.8563
5250000 23.8512
5260000 23.843
5270000 23.8452
5280000 23.8447
5290000 23.8384
5300000 23.8453
5310000 23.8421
5320000 23.8532
5330000 23.8475
5340000 23.8457
5350000 23.8421
5360000 23.8331
5370000 23.8376
5380000 23.8402
5390000 23.8407
5400000 23.8423
5410000 23.8543
5420000 23.8597
5430000 23.8759
5440000 23.8881
5450000 23.8973
5460000 23.9153
5470000 23.9283
5480000 23.9384
5490000 23.9365
5500000 23.9452
5510000 23.9525
5520000 23.9611
5530000 23.9576
5540000 23.9554
5550000 23.9517
5560000 23.9465
5570000 23.9567
5580000 23.9561
5590000 23.9482
5600000 23.9462
5610000 23.9589
5620000 23.9578
5630000 23.9592
5640000 23.9646
5650000 23.9658
5660000 23.9642
5670000 23.9741
5680000 23.9781
5690000 23.9758
5700000 23.9601
5710000 23.9604
5720000 23.965
5730000 23.9603
5740000 23.9719
5750000 23.9821
5760000 23.995
5770000 24.018
5780000 24.0428
5790000 24.0649
5800000 24.0916
5810000 24.1105
5820000 24.1283
5830000 24.1373
5840000 24.1589
5850000 24.1723
5860000 24.1896
5870000 24.2041
5880000 24.2151
5890000 24.2302
5900000 24.2426
5910000 24.2465
5920000 24.2327
5930000 24.2387
5940000 24.2481
5950000 24.2666
5960000 24.2753
5970000 24.2914
5980000 24.2892
5990000 24.2885
6000000 24.2902
6010000 24.2885
6020000 24.3076
6030000 24.3154
6040000 24.3163
6050000 24.3265
6060000 24.3355
6070000 24.3429
6080000 24.3489
6090000 24.3557
6100000 24.365
6110000 24.3669
6120000 24.3686
6130000 24.3707
6140000 24.376
6150000 24.3847
6160000 24.3771
6170000 24.3825
6180000 24.3821
6190000 24.3945
6200000 24.3962
6210000 24.4038
6220000 24.4087
6230000 24.411
6240000 24.4057
6250000 24.4054
6260000 24.3966
6270000 24.3828
6280000 24.3743
6290000 24.3653
6300000 24.3593
6310000 24.3556
6320000 24.3621
6330000 24.3613
