# Time-averaged data for fix averho
# TimeStep v_rho
3730000 1.01906
3740000 1.01907
3750000 1.01908
3760000 1.01909
3770000 1.01911
3780000 1.01913
3790000 1.01914
3800000 1.01915
3810000 1.01916
3820000 1.01916
3830000 1.01917
3840000 1.01917
3850000 1.01918
3860000 1.01918
3870000 1.01919
3880000 1.0192
3890000 1.0192
3900000 1.0192
3910000 1.0192
3920000 1.0192
3930000 1.01921
3940000 1.01922
3950000 1.01922
3960000 1.01923
3970000 1.01924
3980000 1.01925
3990000 1.01926
4000000 1.01927
4010000 1.01928
4020000 1.01929
4030000 1.0193
4040000 1.01931
4050000 1.01932
4060000 1.01933
4070000 1.01934
4080000 1.01936
4090000 1.01937
4100000 1.01938
4110000 1.0194
4120000 1.0194
4130000 1.01941
4140000 1.01941
4150000 1.01942
4160000 1.01942
4170000 1.01943
4180000 1.01944
4190000 1.01945
4200000 1.01946
4210000 1.01946
4220000 1.01946
4230000 1.01947
4240000 1.01947
4250000 1.01947
4260000 1.01948
4270000 1.01949
4280000 1.01949
4290000 1.01949
4300000 1.0195
4310000 1.01949
4320000 1.0195
4330000 1.01951
4340000 1.01951
4350000 1.01951
4360000 1.01951
4370000 1.01952
4380000 1.01952
4390000 1.01952
4400000 1.01952
4410000 1.01953
4420000 1.01953
4430000 1.01955
4440000 1.01956
4450000 1.01956
4460000 1.01957
4470000 1.01957
4480000 1.01957
4490000 1.01958
4500000 1.01958
4510000 1.01959
4520000 1.01959
4530000 1.01959
4540000 1.01959
4550000 1.0196
4560000 1.0196
4570000 1.0196
4580000 1.0196
4590000 1.01961
4600000 1.01961
4610000 1.01962
4620000 1.01963
4630000 1.01963
4640000 1.01964
4650000 1.01965
4660000 1.01967
4670000 1.01968
4680000 1.01969
4690000 1.0197
4700000 1.01971
4710000 1.01972
4720000 1.01973
4730000 1.01974
4740000 1.01975
4750000 1.01976
4760000 1.01976
4770000 1.01976
4780000 1.01976
4790000 1.01976
4800000 1.01976
4810000 1.01977
4820000 1.01977
4830000 1.01978
4840000 1.01979
4850000 1.01979
4860000 1.01979
4870000 1.0198
4880000 1.0198
4890000 1.01981
4900000 1.01981
4910000 1.01982
4920000 1.01983
4930000 1.01984
4940000 1.01985
4950000 1.01985
4960000 1.01986
4970000 1.01986
4980000 1.01986
4990000 1.01987
5000000 1.01988
5010000 1.01988
5020000 1.01989
5030000 1.01989
5040000 1.0199
5050000 1.01991
5060000 1.01992
5070000 1.01993
5080000 1.01994
5090000 1.01994
5100000 1.01995
5110000 1.01995
5120000 1.01996
5130000 1.01997
5140000 1.01998
5150000 1.01999
5160000 1.01999
5170000 1.02
5180000 1.02
5190000 1.02001
5200000 1.02001
5210000 1.02002
5220000 1.02002
5230000 1.02002
5240000 1.02001
5250000 1.02001
5260000 1.02001
5270000 1.02001
5280000 1.02001
5290000 1.02001
5300000 1.02001
5310000 1.02001
5320000 1.02002
5330000 1.02002
5340000 1.02003
5350000 1.02003
5360000 1.02004
5370000 1.02004
5380000 1.02004
5390000 1.02004
5400000 1.02005
5410000 1.02005
5420000 1.02005
5430000 1.02005
5440000 1.02005
5450000 1.02005
5460000 1.02005
5470000 1.02005
5480000 1.02006
5490000 1.02006
5500000 1.02006
5510000 1.02007
5520000 1.02007
5530000 1.02008
5540000 1.02008
5550000 1.02007
5560000 1.02008
5570000 1.02008
5580000 1.02009
5590000 1.0201
5600000 1.02012
5610000 1.02012
5620000 1.02013
5630000 1.02014
5640000 1.02015
5650000 1.02016
5660000 1.02016
5670000 1.02017
5680000 1.02018
5690000 1.02019
5700000 1.0202
5710000 1.0202
5720000 1.02021
5730000 1.02021
5740000 1.02022
5750000 1.02022
5760000 1.02023
5770000 1.02023
5780000 1.02024
5790000 1.02024
5800000 1.02024
5810000 1.02024
5820000 1.02025
5830000 1.02025
5840000 1.02026
5850000 1.02026
5860000 1.02027
5870000 1.02027
5880000 1.02027
5890000 1.02027
5900000 1.02027
5910000 1.02027
5920000 1.02027
5930000 1.02027
5940000 1.02027
5950000 1.02027
5960000 1.02027
5970000 1.02027
5980000 1.02027
5990000 1.02028
6000000 1.02028
6010000 1.02028
6020000 1.02029
6030000 1.02029
6040000 1.02029
6050000 1.02029
6060000 1.0203
6070000 1.0203
6080000 1.02031
6090000 1.02031
6100000 1.02032
6110000 1.02032
6120000 1.02033
6130000 1.02032
6140000 1.02033
6150000 1.02033
6160000 1.02033
6170000 1.02033
6180000 1.02033
6190000 1.02033
6200000 1.02032
6210000 1.02032
6220000 1.02032
6230000 1.02032
6240000 1.02032
6250000 1.02033
6260000 1.02033
6270000 1.02033
6280000 1.02034
6290000 1.02034
6300000 1.02035
6310000 1.02035
6320000 1.02036
6330000 1.02036
6340000 1.02036
6350000 1.02036
6360000 1.02036
6370000 1.02036
6380000 1.02036
6390000 1.02037
6400000 1.02037
6410000 1.02037
6420000 1.02037
6430000 1.02037
6440000 1.02038
6450000 1.02038
6460000 1.02039
6470000 1.02039
6480000 1.0204
6490000 1.0204
6500000 1.0204
6510000 1.0204
6520000 1.02041
6530000 1.02041
6540000 1.02041
6550000 1.02042
6560000 1.02042
6570000 1.02042
6580000 1.02042
6590000 1.02042
6600000 1.02042
6610000 1.02042
6620000 1.02043
6630000 1.02043
6640000 1.02044
6650000 1.02045
6660000 1.02046
6670000 1.02046
6680000 1.02047
6690000 1.02048
6700000 1.02049
6710000 1.02049
6720000 1.02049
6730000 1.0205
6740000 1.02051
6750000 1.02051
6760000 1.02052
6770000 1.02053
6780000 1.02053
6790000 1.02054
6800000 1.02054
6810000 1.02054
6820000 1.02054
6830000 1.02055
6840000 1.02055
6850000 1.02055
6860000 1.02056
6870000 1.02056
6880000 1.02056
6890000 1.02056
6900000 1.02056
6910000 1.02056
6920000 1.02057
6930000 1.02057
6940000 1.02057
6950000 1.02057
6960000 1.02057
6970000 1.02057
6980000 1.02056
6990000 1.02056
7000000 1.02057
7010000 1.02057
7020000 1.02057
7030000 1.02058
7040000 1.02058
7050000 1.02058
7060000 1.02058
7070000 1.02058
7080000 1.02058
7090000 1.02058
7100000 1.02059
7110000 1.02059
7120000 1.0206
7130000 1.0206
7140000 1.02061
7150000 1.02061
7160000 1.02061
7170000 1.02062
7180000 1.02062
7190000 1.02062
7200000 1.02062
7210000 1.02063
7220000 1.02063
7230000 1.02063
7240000 1.02063
7250000 1.02063
7260000 1.02064
7270000 1.02064
7280000 1.02064
7290000 1.02064
7300000 1.02064
7310000 1.02064
7320000 1.02065
7330000 1.02065
7340000 1.02066
7350000 1.02066
7360000 1.02066
7370000 1.02067
7380000 1.02068
7390000 1.02068
7400000 1.02069
7410000 1.02069
7420000 1.0207
7430000 1.0207
7440000 1.0207
7450000 1.0207
7460000 1.0207
7470000 1.0207
7480000 1.0207
7490000 1.0207
7500000 1.02071
7510000 1.02071
7520000 1.0207
7530000 1.0207
7540000 1.0207
7550000 1.0207
7560000 1.0207
7570000 1.02069
7580000 1.02069
7590000 1.02069
7600000 1.02069
7610000 1.02069
7620000 1.02069
7630000 1.02069
7640000 1.02069
7650000 1.02068
7660000 1.02068
7670000 1.02068
7680000 1.02068
7690000 1.02067
7700000 1.02067
7710000 1.02067
7720000 1.02067
7730000 1.02067
7740000 1.02066
7750000 1.02066
7760000 1.02066
7770000 1.02067
7780000 1.02067
7790000 1.02066
7800000 1.02066
7810000 1.02066
7820000 1.02066
7830000 1.02066
7840000 1.02066
7850000 1.02066
7860000 1.02066
7870000 1.02066
7880000 1.02066
7890000 1.02066
7900000 1.02066
7910000 1.02066
7920000 1.02066
7930000 1.02066
7940000 1.02066
7950000 1.02065
7960000 1.02065
7970000 1.02065
7980000 1.02065
7990000 1.02065
8000000 1.02064
8010000 1.02065
8020000 1.02064
8030000 1.02065
8040000 1.02065
8050000 1.02066
8060000 1.02066
8070000 1.02066
8080000 1.02066
8090000 1.02066
8100000 1.02066
8110000 1.02065
8120000 1.02065
8130000 1.02065
8140000 1.02065
8150000 1.02065
8160000 1.02066
8170000 1.02066
8180000 1.02066
8190000 1.02066
8200000 1.02066
8210000 1.02066
8220000 1.02067
8230000 1.02067
8240000 1.02067
8250000 1.02068
8260000 1.02068
8270000 1.02068
8280000 1.02068
8290000 1.02068
8300000 1.02068
8310000 1.02068
8320000 1.02069
8330000 1.02069
8340000 1.0207
8350000 1.0207
8360000 1.0207
8370000 1.02071
8380000 1.02071
8390000 1.02071
8400000 1.02071
8410000 1.02072
8420000 1.02072
8430000 1.02072
8440000 1.02072
8450000 1.02072
8460000 1.02072
8470000 1.02072
8480000 1.02073
8490000 1.02073
8500000 1.02073
8510000 1.02074
8520000 1.02074
8530000 1.02075
8540000 1.02075
8550000 1.02076
8560000 1.02076
8570000 1.02076
8580000 1.02077
8590000 1.02077
8600000 1.02078
8610000 1.02079
8620000 1.02079
8630000 1.0208
8640000 1.0208
8650000 1.02081
8660000 1.02081
8670000 1.02081
8680000 1.02081
8690000 1.02082
8700000 1.02082
8710000 1.02082
8720000 1.02082
8730000 1.02083
8740000 1.02083
8750000 1.02083
8760000 1.02083
8770000 1.02083
8780000 1.02083
8790000 1.02083
8800000 1.02083
8810000 1.02083
8820000 1.02084
8830000 1.02084
8840000 1.02084
8850000 1.02084
8860000 1.02084
8870000 1.02084
8880000 1.02084
8890000 1.02084
8900000 1.02083
8910000 1.02083
8920000 1.02083
8930000 1.02083
8940000 1.02083
8950000 1.02083
8960000 1.02083
8970000 1.02083
8980000 1.02083
8990000 1.02083
9000000 1.02084
9010000 1.02084
9020000 1.02085
9030000 1.02085
9040000 1.02085
9050000 1.02086
9060000 1.02086
9070000 1.02086
9080000 1.02087
9090000 1.02087
9100000 1.02087
9110000 1.02088
9120000 1.02088
